Team Code,Team Name,2012,2013,2014,2015,2016,2017
ATL,Atlanta United FC,,,,,,48200
CHI,Chicago Fire,16409,15228,16076,16003,15602,17383
COL,Colorado Rapids,15175,15440,15082,15657,16278,15322
CLB,Columbus Crew,14397,16080,16881,16985,17125,15439
DAL,FC Dallas,14199,15373,16816,16015,14094,15122
DCU,D.C. United,13846,13646,17030,16244,17081,17904
HOU,Houston Dynamo,21015,19923,20117,20658,19021,17500
LAG,Los Angeles Galaxy,23136,22152,21258,23392,25138,22246
MIN,Minnesota United FC,,,,,,20538
MTL,Impact de Montréal,22772,20602,17421,17750,20669,20046
NE,New England Revolution,14001,14844,16681,19627,20185,19367
NYC,New York City FC,,,,29016,27196,22177
NYRB,New York Red Bulls,18281,19461,19421,19657,20620,21175
ORL,Orlando City,,,,32847,31324,25028
PHI,Philadelphia Union,18053,17867,17631,17451,17519,16812
POR,Portland Timbers,20438,20674,20806,21144,21144,21144
RSL,Real Salt Lake,19087,19218,20351,20160,19759,18781
SJ,San Jose Earthquakes,13293,12765,14947,20979,19930,19875
SEA,Seattle Sounders,43144,44038,43734,44247,42636,43666
KC,Sporting Kansas City,19404,19708,20003,19687,19597,19537
TOR,Toronto FC,18155,18131,22086,23451,26538,27647
VAN,Vancouver Whitecaps,19475,20038,20408,20507,22330,21416